epoch,loss,val_loss
0,0.9410563707351685,0.9188923835754395
1,0.9183816909790039,0.8837606310844421
2,0.8732835650444031,0.8407838940620422
3,0.8290039300918579,0.7836573719978333
4,0.7875127792358398,0.7251712679862976
5,0.7308125495910645,0.6643760204315186
6,0.6452625393867493,0.5985415577888489
7,0.5789654850959778,0.5468040704727173
8,0.5538362264633179,0.49445679783821106
9,0.48956769704818726,0.46749311685562134
10,0.43246206641197205,0.42672187089920044
11,0.40241581201553345,0.42068928480148315
12,0.425405889749527,0.4166845679283142
13,0.4003874659538269,0.39071059226989746
14,0.334881991147995,0.37016475200653076
15,0.36466914415359497,0.39089760184288025
16,0.2904554605484009,0.3555121421813965
17,0.3095793128013611,0.30122634768486023
18,0.27950116991996765,0.2966121733188629
19,0.33982399106025696,0.3077373802661896
20,0.23142686486244202,0.30521172285079956
